Partner University,PU Course Code,PU Course Title,NUS Course Code
University of Amsterdam,SCI 5062DAPR6Y,Data Processing,SX2883
University of Bath,CH 20177,Organic chemistry 4 for visiting students,CM3222
City University of Hong Kong,SDSC 3004,Computational Optimization,MA3236
University of Bath,CH 30065,Biosynthesis & biotransformations,CM3225
University of Bath,CH 30230,DNA in the modern world,CM3225
University of Bath,CH 20238,Introduction to computational chemistry,CM3296
University of Bath,CH 30240,Practical computational chemistry for management students,CM3296
University of Bath,CH 20175,Inorganic chemistry 4 for visiting students,CM3991
University of Bath,CH 20179,Physical chemistry 4 for visiting students,CM3991
University of Bath,MA 20219,Analysis 2B,MA3211
University of Bath,MA 40050,Numerical optimisation and large-scale systems,MA3236
University of Bath,MA 20225,Probability 2B,MA3238
University of Bath,MA 30059,Mathematical methods 2,MA4221
City University of Hong Kong,MA 3515,Introduction to Optimization,MA3252
University of Bath,MA 30089,Stochastic Processes & Finance,QF4103
University of Bath,MA 20227,Statistics 2B,ST3131
University of Bath,MA 30091,Applied statistics,ST3248
University of Bath,MA 40189,Topics in Bayesian statistics,ST4234
University of Bath,MA 30085,Time series,ST4253
University of Birmingham,06 19590,Nonlinear Programming I and Heuristic Optimisation,DSA3102
University of Birmingham,BIO 13282,Plant Sciences: From Cells to the Environment,LSM2254
University of Birmingham,ZXX 36180,Introduction to Sports Science,LSM2991
University of Birmingham,BIO 11221,Eukaryotic Gene Expression,LSM3220
University of Birmingham,03 24985,LI Cell and Developmental Biology,LSM3233
City University of Hong Kong,MA 3512,Partial Differential Equations,MA4221
University of Birmingham,BIO 28780,Evolution of Humans and other Animals,LSM3252
University of Birmingham,03 10820,LH Evolution of Vertebrates,LSM3252
University of Birmingham,3 28780,LI Evolution of Humans and Other Animals,LSM3252
University of Birmingham,03 36118,LH Responses to Global Environmental Change,LSM3272
University of Birmingham,BIO 37115,"Microbiology: Medicine, Environment and Industry",LSM3991
University of Birmingham,03 24986,LI Field Course: Adaptations to Aquatic Environments,LSM3991
University of Birmingham,ZXX 03 35279,Metabolic perspectives in exercise and nutrition,LSM3991
University of Birmingham,ZXX 03 30790,LH Current developments and advances in Eukaryotic Genetics,LSM3992
University of Birmingham,ZXX 35279,Metabolic Perspectives in Exercise and Nutrition,LSM3992
University of Birmingham,ZXX 28267,Sport nutrition,LSM3993
City University of Hong Kong,SDSC 5001,Statistical Machine Learning I,MA4270
University of Birmingham,BIO 18540,Topics in Medical Biosciences,LSM4210
University of Birmingham,06 33917,LH Advanced Mathematical Modelling,MA3264
University of Birmingham,06 22515,Applied Statistics,ST3248
University of Bristol,BIOL 20024,Cell and Developmental Biology,LSM3233
University of Bristol,BIOL 20023,Animal Behaviour,LSM3991
University of Calgary,ZOOL 403,An Introduction to Vertebrate Zoology,ENV4991
University of Calgary,SGMA 555,Strategies for Sustainable Development,ENV4991
University of Calgary,BIOL 401,Evolutionary Biology,LSM3252
University of Calgary,ECOL 419,TERRESTRIAL COMMUNITIES AND ECOSYSTEMS,LSM3255
University of Calgary,BIOL 315,Quantitative Biology I,LSM3257
City University of Hong Kong,GE 1305,Foundation Physics,PC1201
University of Calgary,ECOL 425,Quantitative Biology II,LSM3257
University of Calgary,BIOL 451,Conservation Biology,LSM3272
University of Calgary,GEOG 204,Global Environmental Change,LSM3272
University of Calgary,BIOL 371,Principles of Neurobiology 1,LSM3991
University of Calgary,ZOOL 515,COMPARATIVE VERTEBRATE ANATOMY,LSM3991
University of Calgary,ZOOL 401,An Introduction to Invertebrate Zoology,LSM4266
University of Calgary,ZOOL 581,Principles in Parasitism,LSM4991
University of California,CHE 131,Modern Methods of Organic Synthesis,CM3221
University of California,CHEM 152,Synthetic Methods in Organic Chemistry,CM3221
University of California,CHEM 115B,Quantum Chemistry,CM3231
City University of Hong Kong,MA 3521,Introduction to Mathematical Finance,QF2104
University of California,CHEM 195,Special Topics: Polymer Organic Chemistry,CM3252
University of California,CHEM 171,Environmental Chemistry I,CM3261
University of California,CHE 155,Scientific Programming for Chemistry,CM3267
University of California,CHEM 113B,Quantum Chemistry Methods,CM3296
University of California,CHEM 171H,Berkeley Changemaker: The Green Materials Innovation Challenge),CM3991
University of California,CHEM 179,Biological Inorganic Chemistry,CM4215
University of California,CHEM 116,Chemical Biology,CM4227
University of California,CHEM 113,Biophysical Chemistry of Macromolecules,CM4236
University of California,CHEM C130,Biophysical Chemistry: Physical Principles And The Molecules Of Life,CM4236
University of California,CHEM 156,Physical Biochemistry,CM4236
City University of Hong Kong,EF 4321,Derivatives and Risk Management,QF4103
University of California,CHE 130A,Principles of Medicinal Chemistry,CM4271
University of California,MATH 105A,Numerical Analysis I,DSA2102
University of California,MATH 173A,Optimization Methods for Data Science I,DSA3102
University of California,IND ENG 160,Nonlinear and Discrete Optimization,DSA3102
University of California,BIOE 109,Evolution,ENV2991
University of California,ENVS 130B,Justice and Sustainability in Agriculture,ENV2991
University of California,BIOE 108,Marine Ecology,ENV2991
University of California,EART 131,Sea Level Change,ENV2991
University of California,ESS W 3,Nutrition for Health,FST1991
University of California,FST 110,Food Processing,FST2109
City University of Hong Kong,MA 5616,Financial Mathematics in Derivative Markets,QF4103
University of California,NUT 111AY,Introduction to Nutrition & Metabolism,FST2201
University of California,BILD 22,Human Nutrition,FST2201
University of California,FST 217,Advanced Food Sensory Science,FST3107
University of California,FST 117,Design & Analysis for Sensory Food Science,FST3107
University of California,FST 107,Food Sensory Science,FST3107
University of California,FST 213,Flavor Chemistry of Foods & Beverages,FST3109
University of California,FST 101A,Food Chemistry Laboratory,FST3111
University of California,ASTR 4,Black Holes and Cosmic Catastrophes,HSI2012
University of California,EARTH 7,Dinosaurs,LSM2991
University of California,BICD 130,"Embryos, Genes & Development",LSM3233
City University of Hong Kong,SDSC 3007,Advanced Statistics,ST2132
University of California,BIOE 172,Population Genetics,LSM3252
University of California,EE BIOL 129,Animal Behavior,LSM3267
University of California,BIOE 140,Behavioral Ecology,LSM3267
University of California,EEMB 163,Deep Sea Biology,LSM3991
University of California,MIMG 101,Introductory Microbiology,LSM3991
University of California,EEMB 147,Coral Reef Biology and Ecology,LSM4261
University of California,BIOE 165,Marine Conservation Biology,LSM4262
University of California,MATH 108B,Linear Algebra,MA2101
University of California,MATH 110,Abstract Linear Algebra,MA2101
University of California,MATH 32A,Calculus of Several Variables,MA2104
City University of Hong Kong,MA 3518,Applied Statistics,ST2132
Amsterdam University College,SCIY 900298,Information Lab,DSA4265
University of California,MATH 104,Introduction to Analysis,MA2108
University of California,MATH 111A,Abstract Algebra,MA2202
University of California,MAT 168,Optimization,MA3252
University of California,MATH 171A,Introduction to Numerical Optimization: Linear Programming,MA3252
University of California,BICD 136,AIDS Science and Society,PHS3991
University of California,STA 108,Applied Statistical Methods: Regression Analysis,ST3131
University of California,STATS 101A,Introduction to Data Analysis and Regression,ST3131
University of California,ECON 103,Introduction to Econometrics,ST3131
University of California,MATH 181B,Introduction to Mathematical Statistics II,ST3131
University of California,STAT 151A,Linear Modelling: Theory and Applications,ST3131
City University of Hong Kong,CS 3481,Fundamentals of Data Science,ST2991
University of California,STATS 100C,Linear Models,ST3131
University of California,PSTAT 126,Regression Analysis,ST3131
University of California,STAT 170,Regression Analysis,ST3131
University of California,PSTAT 122,Design and Analysis of Experiments,ST3232
University of California,STAT 169,Design of Experiments,ST3232
University of California,STAT 158,Experimental Design,ST3232
University of California,PSTAT 160A,Applied Stochastic Processes,ST3236
University of California,STAT 161,Introduction to Probability Models,ST3236
University of California,STAT 150,Stochastic Processes,ST3236
University of California,STAT 152,Sampling Surveys,ST3239
City University of Hong Kong,MS 3252,Regression Analysis,ST3131
University of California,STAT 130,Sampling Surveys,ST3239
University of California,PSTAT 123,Sampling Techniques,ST3239
University of California,PSTAT 173,Risk Theory,ST3246
University of California,PSTAT 172A,Actuarial Statistics I,ST3246
University of California,PSTAT 115,Introduction to Bayesian Data Analysis,ST4234
University of California,PSTAT 160B,Applied Stochastic Processes,ST4238
University of California,STAT 218,Survival Analysis,ST4252
University of California,STAT 146,Statistical Forecasting Techniques,ST4253
University of California,PSTAT 174,Time Series,ST4253
University of California,STAT 153,Introduction to Time Series,ST4253
City University of Hong Kong,SDSC 4110,Statistical Design and Analysis of Experiments,ST3232
University of Colorado Boulder,CSCI 5254,Convex Optimization and Its Applications,DSA3102
University of Colorado Boulder,CSCI 3832,Natural Language Processing,DSA4213
University of Colorado Boulder,MATH 2001,Introduction to Discrete Math,MA1100
University of Colorado Boulder,MATH 2002,Number Systems: An Introduction to Higher Mathematics,MA1100
University of Colorado Boulder,APPM 5600,Numerical Analysis 1,MA2213
University of Colorado Boulder,ASTR 1010,Introductory Astronomy 1,PC1991
University of Colorado Boulder,ASTR 1000,The Solar System,PC1991
University of Colorado Boulder,STAT 3400,Applied Regression,ST3131
University of Colorado Boulder,APPM 4560,"Markov Processes, Queues, and Monte Carlo Simulations",ST3236
University of Colorado Boulder,STAT 4630,Computational Bayesian Statistics,ST4234
City University of Hong Kong,MA 4546,Introduction to Stochastic Processes,ST3236
University of Colorado Boulder,STAT 4610,Bayesian learning,ST4234
University of Colorado Boulder,STAT 4540,Introduction to Time Series,ST4253
University of Connecticut,MATH 2110Q,Multivariable Calculus,MA2104
University of Connecticut,STAT 2255,Statistical Programming,ST2137
University of Connecticut,STAT 3965,Elementary Stochastic Processes,ST3236
University of Connecticut,STAT 4255,Introduction to Statistical Learning,ST3248
University of Connecticut,STAT 4825,Applied Time Series,ST4253
University of Copenhagen,NBIK 1402U,Evolutionary Ecology,LSM2107
University of Copenhagen,SGBB 20003U,Marine Mammal Biology and Research,LSM2991
University of Copenhagen,NBIK 10020U,Developmental Biology,LSM3233
City University of Hong Kong,MA 4537,Introduction to Actuarial Science,ST3246
University of Copenhagen,NBIK 10020E,Developmental Biology,LSM3233
University of Copenhagen,NNMK 15004U,Animal Morphology,LSM3233
University of Copenhagen,NBIB 15021U,Fundamental Bioinformatics,LSM3241
University of Copenhagen,NFYB 21002U,Introduction to Biophysics,LSM3243
University of Copenhagen,SBIB 10170U,Mammalian Genomics,LSM3252
University of Copenhagen,NBIB 14015U,Applied Marine Biology (Marin),LSM3254
University of Copenhagen,SGBB 22001U,Ecological Data Analysis with R (REcoStat),LSM3257
University of Copenhagen,NBIK 14016U,Experimental Design and Statistical Methods in Biology,LSM3257
University of Copenhagen,SASK 17003U,Ethology,LSM3267
University of Copenhagen,NBIK 14010U,Social Behaviour and Communication,LSM3267
City University of Hong Kong,SDSC 4026,SYSTEMS MODELLING AND SIMULATION,ST3247
University of Copenhagen,NBIA 04048U,Conservation (Cons),LSM3272
University of Copenhagen,NBIK 14018U,Terrestrial Ecosystem Processes and Global Change,LSM3272
University of Copenhagen,NSCIENCE 1,Individual Study Project,LSM3288
University of Copenhagen,NPLK 15000U,Basic Parasitology,LSM3991
University of Copenhagen,NBIK 10015U,Cell Cycle Control and Cancer,LSM3991
University of Copenhagen,SLVKBD 0392U,Drug Discovery and Development,LSM3991
University of Copenhagen,NPLB 22001U,Experimental Animal Models In Research and Industry,LSM3991
University of Copenhagen,NPLB 2002U,From Genomics to Plant Breeding,LSM3991
University of Copenhagen,NPLB 20002U,From Genomics to Plant Breeding,LSM3991
University of Copenhagen,NFOK 14019U,Microbiology of Fermented Food and Beverages,LSM3991
City University of Hong Kong,GE 2334,Science Versus Crime,SX2996
University of Copenhagen,NBIK 15016E,The Human Microbiome,LSM3991
University of Copenhagen,NBIK 15016U,The Human Microbiome,LSM3991
University of Copenhagen,NBIK 14013U,Arctic Biology,LSM3991
University of Copenhagen,NBIK 20005U,Cellular and Integrative Physiology,LSM3991
University of Copenhagen,NBIA 08004U,Evolutionary Medicine,LSM3991
University of Copenhagen,NBIK 15014U,Human Genetics,LSM3991
University of Copenhagen,SFKBIL 004U,Neuropharmacology,LSM3991
University of Copenhagen,NBIB 22001U,Plant Ecophysiology,LSM3991
University of Copenhagen,NBIK 14004U,Freshwater Ecology,LSM4264
University of Copenhagen,NBIK 15019U,Sensory Biology,LSM4267
City University of Hong Kong,GE 2333,The Science of Cosmetics,SX2996
University of Copenhagen,NBIA 05008U,Biological Sequence Analysis,MA3259
University of Copenhagen,SLKKIL 122U,Structure based Drug Research,PHS3102
University of Copenhagen,SLKKIL 112U,Structure-based Drug Research,PHS3102
University of Copenhagen,SFKBIF 102U,DESIGN AND ANALYSIS OF EXPERIMENTS,PHS4991
University of Copenhagen,SFKBIF10 SFKBIF103U,Drug delivery to central nervous system,PHS4991
University of Copenhagen,SFKBIF 103U,Drug Delivery to the Central Nervous System (CNS),PHS4991
University of Copenhagen,SFAB 21002U,PHARMACEUTICAL MODELLING,PHS4991
University of Dundee,BS 11002,Evolution of Cells,LSM2107
University of Dundee,BS 32031,Bioinformatics Research Skills 1,LSM2241
University of Dundee,BS 31016,Practical techniques in biomedical sciences,LSM3201
Colgate University,CHEM 353,Proteins and Nucleic Acids,CM3225
University of Dundee,BS 31006,Gene Regulation & Expression,LSM3220
University of Dundee,BS 32005,Cell & Developmental Biology,LSM3233
University of Dundee,CA 31001,Embryology,LSM3233
University of Dundee,BS 32010,Applied Bioinformatics,LSM3241
University of Dundee,BS 31013,Biomembranes,LSM3243
University of Dundee,BS 31003,Molecular Structure & Interactions,LSM3243
University of Dundee,BS 31019,Regulatory Physiology and Pharmacology,LSM3991
University of Dundee,BS 42009,Advanced Molecular Microbiology,LSM3991
University of Dundee,BS 32024,Behavioural Neuroscience and Pharmacology,LSM3991
University of Dundee,BS 32029,Cell proliferation and survival mechanism underlying disease,LSM3991
Colgate University,CHEM 353 A,Proteins and Nucleic Acids,CM3225
Amsterdam University College,SCIY 900271,Nutrition and Health,FST2991
University of Dundee,BS 31020,Experimental Cell Culture Module,LSM3991
University of Dundee,CA 41001,Forensic Osteology,LSM3991
University of Dundee,BS 42018,Mapping Memories in the Brain,LSM3991
University of Dundee,BS 42012,Parasitology,LSM3991
University of Dundee,CA 41002,Peri and Post-Mortem Processes,LSM3991
University of Dundee,BS 42017,Translational Psychiatry & Neurology,LSM3991
University of Dundee,BS 42014,Nutrients and Metabolic Disease,LSM4210
University of Dundee,BS 42008,Stem Cells in Development and Disease,LSM4227
University of Dundee,BS 42010,Advanced Gene Regulation & Expression,LSM4991
University of Dundee,BS 42021,Heart & Circulation,LSM4991
Colgate University,CHEM 440,Materials Chemistry,CM3253
University of Dundee,BS 42003,Advanced Bioinformatics,ZB4171
University of Georgia,FDST 4080,Instrumental Methods of Food Analysis,FST3111
University of Georgia,FDST 4090,Food Quality Control,FST3112
University of Georgia,FDST 4100,Governmental Regulation of Food Safety and Quality,FST3112
University of Georgia,FDST 4070,Nutritional Quality and the Effect of Technology,FST3205
University of Georgia,FDST 4250,Food Product Development,FST4104
University of Georgia,FDST 4180E,Brewing Science,FST4991
University of Georgia,MATH 8150/8155,Complex Analysis I,MA3211
University of Georgia,MATH 4400,Number Theory,MA3265
University of Georgia,MATH 4720,Introduction to Partial Differential Equations,MA4221
Colgate University,CHEM 415,Organometallic Chemistry,CM3253
University of Georgia,MATH 4250,Differential Geometry,MA4271
University of Georgia,MATH 6250,Differential Geometry,MA4271
University of Georgia,PHYS 4601,Introduction to Computational Physics,PC3236
University of Glasgow,BIOL 4008,BEHAVIOURAL ECOLOGY 4B OPTION BIOL4008,LSM3267
University of Glasgow,GEOG 1015,INTRODUCTION TO CLIMATE CHANGE AND SUSTAINABILITY,LSM3272
University of Glasgow,BIOL 4287,"FISHERIES, AQUACULTURE AND MARINE CONSERVATION 4C OPTION BIOL4287",LSM3991
University of Glasgow,BIOL 4050,FRESHWATER ECOLOGY (WITH FIELD COURSE) 4D OPTION,LSM3992
University of Glasgow,BIOL 4212,ECOLOGICAL SPECIATION 4A OPTION,LSM4257
University of Gothenburg,GV 2001,Regional Environmental Earth Science,ENV2991
University of Gothenburg,GS 1115,Global Gender Studies: Perspectives on Sex and Gender,ENV2992
Colgate University,BIOL 306,Medical and Forensic Botany,FSC3991
University of Gothenburg,BIO 267,Marine Biodiversity,ENV3991
University of Gothenburg,EHG 641,The Modern Scandinavian Economic History,ENV3992
University of Gothenburg,GV 2500,Data Analysis for Earth Sciences,LSM3257
University of Gothenburg,ES 2613,"Global change - problem, analysis, measures",LSM3272
University of Helsinki,MAT 12004,Statistical inference I,ST2132
University of Helsinki,MAST 32014,Regression and regularisation,ST3131
University of Helsinki,MAST 32014,Regression and regularisation,ST3131
University of Helsinki,FHDP 121,Statistical analysis with SPSS,ST3131
University of Helsinki,COS D416,Survey Sampling,ST3239
University of Helsinki,MATR 323,Basics of Monte Carlo Simulations,ST3247
Colgate University,NEUR 170A,Introduction to Neuroscience NEUR 170 A,LSM1991
University of Helsinki,MAT 22005,Bayesian inference,ST4234
University of Helsinki,DATA 11007,STATISTICS FOR DATA SCIENCE,ST4991
University of Kaiserslautern,MAT 50-12-K-4,Nonlinear Optimization,DSA3102
University of Kaiserslautern,INF 75-60-M-6,Optimization for Deep Learning,DSA4212
University of Kaiserslautern,MAT 62-21-M-7,tatistical Learning and Selected Applications,DSA4212
University of Kaiserslautern,MAT -70-11-K-4,Functional Analysis,MA4211
University of Kaiserslautern,MAT- 80-17-K-6,Dynamical Systems,MA4233
University of Kaiserslautern,MAT- 81-11-K-7,Numerical Methods for PDE I,MA4255
University of Kaiserslautern,MAT -59-11-M-7,Theory of Scheduling Problems,MA4991
University of Kaiserslautern,MAT 60-12-M-4,Regression and Time Series Analysis,ST3131
Colgate University,BIOL 181,"Evolution, Ecology, and Diversity",LSM2107
University of Kaiserslautern,MAT 60-12-K-4,Regression and Time Series Analysis,ST3131
University of Kaiserslautern,MAT 61-18-K-7,Life Insurance Mathematics,ST3246
University of Kaiserslautern,MAT 60-14-M-6,Monte Carlo Algorithms,ST3247
University of Kaiserslautern,INF 71-63-M-6,Social Web Mining,ST3991
University of Lausanne,ZXX M34109,"Advanced Molecular, Cellular and Developmental Biology",LSM3233
University of Lausanne,M 34117,Biotic Interactions,LSM3991
University of Lausanne,M 34118,Case studies in conservation biology,LSM3991
University of Lausanne,M 35397,Modelling in Biology and Bioinformatics,LSM3991
University of Lausanne,M 34118,Case studies in conservation biology,LSM3991
University of Leeds,FOOD 2046,Food Processing: From Farm to Shop,FST3103
Colgate University,BIOL 310,Epidemiology,LSM3991
University of Leeds,FOOD 2135,Microbiological and Chemical Food Safety,FST3108
University of Leeds,FOOD 2160,Nutrition in the Prevention and Treatment of Disease,FST3202
University of Leeds,FOOD 3340,Food and Cancer,FST3205
University of Leeds,BLGY 2225,Sustainable Food Production,LSM3256
University of Leeds,SOEE 1120,Vertebrate Evolution,LSM3266
University of Leeds,BLGY 2222,Animal Behaviour,LSM3267
University of Leeds,BLGY 2220,"Evolution, Adaptation and Behaviour",LSM3267
University of Leeds,BLGY 3257,Advanced Topics in Conservation Science,LSM3272
University of Leeds,SOEE 3785,Change for Sustainable Development,LSM3272
University of Leeds,SOEE 2160,Climate Change: Science and Impacts,LSM3272
Colgate University,NEUR 353AX,Visual Perception and Cognition,LSM3993
